"dr","Region_Id","Location_Id","Group_Location_Id","Item_Id_Unique","Meter_Type_Id","Use_Id","Occurred_On","FY","FY_MonthEnding","Confidence","Amount","Statistics_Data_Type_Id","Days_Included","Currency_Id","Normalized","Conversion_Id","Target","Budget","Target_CO2e","Target_GJ"
"24","145786","17069958","17083277","-17896443","101","1","11/1/2024 12:00:00 AM","23-24","","","0.0000","1","30","114","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","1/1/2022 12:00:00 AM","21-22","","100","73146.0674","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","2/1/2022 12:00:00 AM","21-22","","100","66067.4157","1","28","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","3/1/2022 12:00:00 AM","21-22","","92","2136.9863","3","1","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","3/1/2022 12:00:00 AM","21-22","","100","70786.5169","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","4/1/2022 12:00:00 AM","21-22","","100","72527.4725","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","5/1/2022 12:00:00 AM","21-22","","100","74945.0549","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","6/1/2022 12:00:00 AM","21-22","","100","72527.4725","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","7/1/2022 12:00:00 AM","21-22","","100","77500.0000","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","8/1/2022 12:00:00 AM","21-22","","100","77500.0000","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","9/1/2022 12:00:00 AM","21-22","","100","75000.0000","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","10/1/2022 12:00:00 AM","21-22","","100","80869.5652","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","11/1/2022 12:00:00 AM","21-22","","100","78260.8696","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","12/1/2022 12:00:00 AM","21-22","","100","80869.5652","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","1/1/2023 12:00:00 AM","22-23","","100","65444.4444","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","2/1/2023 12:00:00 AM","22-23","","100","59111.1111","1","28","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","3/1/2023 12:00:00 AM","22-23","","100","65444.4444","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","4/1/2023 12:00:00 AM","22-23","","100","65934.0659","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","5/1/2023 12:00:00 AM","22-23","","100","68131.8681","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","6/1/2023 12:00:00 AM","22-23","","100","65934.0659","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","7/1/2023 12:00:00 AM","22-23","","100","112880.4348","1","62","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","8/1/2023 12:00:00 AM","22-23","","100","112880.4348","1","62","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","9/1/2023 12:00:00 AM","22-23","","100","109239.1304","1","60","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","10/1/2023 12:00:00 AM","22-23","","100","38750.0000","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","11/1/2023 12:00:00 AM","22-23","","100","37500.0000","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","12/1/2023 12:00:00 AM","22-23","","100","38750.0000","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","1/1/2024 12:00:00 AM","23-24","","100","61318.6813","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","2/1/2024 12:00:00 AM","23-24","","100","57362.6374","1","29","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","3/1/2024 12:00:00 AM","23-24","","100","61318.6813","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","4/1/2024 12:00:00 AM","23-24","","100","65934.0659","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","5/1/2024 12:00:00 AM","23-24","","100","68131.8681","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","6/1/2024 12:00:00 AM","23-24","","100","65934.0659","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","7/1/2024 12:00:00 AM","23-24","","100","74130.4348","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","8/1/2024 12:00:00 AM","23-24","","100","74130.4348","1","31","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","9/1/2024 12:00:00 AM","23-24","","100","71739.1304","1","30","51","","48","","","",""
"33","17000001","17069959","17083278","-17896361","101","1","10/1/2024 12:00:00 AM","23-24","","92","66246.5753","3","31","51","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","1/1/2022 12:00:00 AM","21-22","","100","97528.0899","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","2/1/2022 12:00:00 AM","21-22","","100","88089.8876","1","28","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","3/1/2022 12:00:00 AM","21-22","","92","3334.9950","3","1","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","3/1/2022 12:00:00 AM","21-22","","100","94382.0225","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","4/1/2022 12:00:00 AM","21-22","","100","95604.3956","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","5/1/2022 12:00:00 AM","21-22","","100","98791.2088","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","6/1/2022 12:00:00 AM","21-22","","100","95604.3956","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","7/1/2022 12:00:00 AM","21-22","","100","101086.9565","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","8/1/2022 12:00:00 AM","21-22","","100","101086.9565","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","9/1/2022 12:00:00 AM","21-22","","100","97826.0870","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","10/1/2022 12:00:00 AM","21-22","","100","107826.0870","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","11/1/2022 12:00:00 AM","21-22","","100","104347.8261","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","12/1/2022 12:00:00 AM","21-22","","100","107826.0870","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","1/1/2023 12:00:00 AM","22-23","","100","99888.8889","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","2/1/2023 12:00:00 AM","22-23","","100","90222.2222","1","28","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","3/1/2023 12:00:00 AM","22-23","","100","99888.8889","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","4/1/2023 12:00:00 AM","22-23","","100","98901.0989","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","5/1/2023 12:00:00 AM","22-23","","100","102197.8022","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","6/1/2023 12:00:00 AM","22-23","","100","98901.0989","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","7/1/2023 12:00:00 AM","22-23","","100","107826.0870","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","8/1/2023 12:00:00 AM","22-23","","100","107826.0870","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","9/1/2023 12:00:00 AM","22-23","","100","104347.8261","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","10/1/2023 12:00:00 AM","22-23","","100","104456.5217","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","11/1/2023 12:00:00 AM","22-23","","100","101086.9565","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","12/1/2023 12:00:00 AM","22-23","","100","104456.5217","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","1/1/2024 12:00:00 AM","23-24","","100","102197.8022","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","2/1/2024 12:00:00 AM","23-24","","100","95604.3956","1","29","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","3/1/2024 12:00:00 AM","23-24","","100","102197.8022","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","4/1/2024 12:00:00 AM","23-24","","100","105494.5055","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","5/1/2024 12:00:00 AM","23-24","","100","109010.9890","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","6/1/2024 12:00:00 AM","23-24","","100","105494.5055","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","7/1/2024 12:00:00 AM","23-24","","100","106141.3043","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","8/1/2024 12:00:00 AM","23-24","","100","106141.3043","1","31","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","9/1/2024 12:00:00 AM","23-24","","100","102717.3913","1","30","39","","48","","","",""
"61","45001","17069963","17083282","-17896359","101","1","10/1/2024 12:00:00 AM","23-24","","92","103384.8450","3","31","39","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","1/1/2022 12:00:00 AM","21-22","","100","90561.7978","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","2/1/2022 12:00:00 AM","21-22","","100","81797.7528","1","28","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","3/1/2022 12:00:00 AM","21-22","","92","3160.5184","3","1","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","3/1/2022 12:00:00 AM","21-22","","100","87640.4494","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","4/1/2022 12:00:00 AM","21-22","","100","89010.9890","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","5/1/2022 12:00:00 AM","21-22","","100","91978.0220","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","6/1/2022 12:00:00 AM","21-22","","100","89010.9890","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","7/1/2022 12:00:00 AM","21-22","","100","94347.8261","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","8/1/2022 12:00:00 AM","21-22","","100","94347.8261","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","9/1/2022 12:00:00 AM","21-22","","100","91304.3478","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","10/1/2022 12:00:00 AM","21-22","","100","101086.9565","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","11/1/2022 12:00:00 AM","21-22","","100","97826.0870","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","12/1/2022 12:00:00 AM","21-22","","100","101086.9565","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","1/1/2023 12:00:00 AM","22-23","","100","93000.0000","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","2/1/2023 12:00:00 AM","22-23","","100","84000.0000","1","28","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","3/1/2023 12:00:00 AM","22-23","","100","93000.0000","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","4/1/2023 12:00:00 AM","22-23","","100","98901.0989","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","5/1/2023 12:00:00 AM","22-23","","100","102197.8022","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","6/1/2023 12:00:00 AM","22-23","","100","98901.0989","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","7/1/2023 12:00:00 AM","22-23","","100","104456.5217","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","8/1/2023 12:00:00 AM","22-23","","100","104456.5217","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","9/1/2023 12:00:00 AM","22-23","","100","101086.9565","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","10/1/2023 12:00:00 AM","22-23","","100","97717.3913","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","11/1/2023 12:00:00 AM","22-23","","100","94565.2174","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","12/1/2023 12:00:00 AM","22-23","","100","97717.3913","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","1/1/2024 12:00:00 AM","23-24","","100","95384.6154","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","2/1/2024 12:00:00 AM","23-24","","100","89230.7692","1","29","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","3/1/2024 12:00:00 AM","23-24","","100","95384.6154","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","4/1/2024 12:00:00 AM","23-24","","100","98901.0989","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","5/1/2024 12:00:00 AM","23-24","","100","102197.8022","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","6/1/2024 12:00:00 AM","23-24","","100","98901.0989","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","7/1/2024 12:00:00 AM","23-24","","100","104456.5217","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","8/1/2024 12:00:00 AM","23-24","","100","104456.5217","1","31","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","9/1/2024 12:00:00 AM","23-24","","100","101086.9565","1","30","114","","48","","","",""
"54","94339","17069962","17083281","-17896360","101","1","10/1/2024 12:00:00 AM","23-24","","92","97976.0704","3","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","1/1/2022 12:00:00 AM","21-22","","100","97528.0899","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","2/1/2022 12:00:00 AM","21-22","","100","88089.8876","1","28","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","3/1/2022 12:00:00 AM","21-22","","92","3399.8006","3","1","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","3/1/2022 12:00:00 AM","21-22","","100","94382.0225","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","4/1/2022 12:00:00 AM","21-22","","100","95604.3956","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","5/1/2022 12:00:00 AM","21-22","","100","98791.2088","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","6/1/2022 12:00:00 AM","21-22","","100","95604.3956","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","7/1/2022 12:00:00 AM","21-22","","100","101086.9565","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","8/1/2022 12:00:00 AM","21-22","","100","101086.9565","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","9/1/2022 12:00:00 AM","21-22","","100","97826.0870","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","10/1/2022 12:00:00 AM","21-22","","100","107826.0870","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","11/1/2022 12:00:00 AM","21-22","","100","104347.8261","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","12/1/2022 12:00:00 AM","21-22","","100","107826.0870","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","1/1/2023 12:00:00 AM","22-23","","100","99888.8889","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","2/1/2023 12:00:00 AM","22-23","","100","90222.2222","1","28","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","3/1/2023 12:00:00 AM","22-23","","100","99888.8889","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","4/1/2023 12:00:00 AM","22-23","","100","105494.5055","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","5/1/2023 12:00:00 AM","22-23","","100","109010.9890","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","6/1/2023 12:00:00 AM","22-23","","100","105494.5055","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","7/1/2023 12:00:00 AM","22-23","","100","111195.6522","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","8/1/2023 12:00:00 AM","22-23","","100","111195.6522","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","9/1/2023 12:00:00 AM","22-23","","100","107608.6957","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","10/1/2023 12:00:00 AM","22-23","","100","107826.0870","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","11/1/2023 12:00:00 AM","22-23","","100","104347.8261","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","12/1/2023 12:00:00 AM","22-23","","100","107826.0870","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","1/1/2024 12:00:00 AM","23-24","","100","105604.3956","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","2/1/2024 12:00:00 AM","23-24","","100","98791.2088","1","29","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","3/1/2024 12:00:00 AM","23-24","","100","105604.3956","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","4/1/2024 12:00:00 AM","23-24","","100","108791.2088","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","5/1/2024 12:00:00 AM","23-24","","100","112417.5824","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","6/1/2024 12:00:00 AM","23-24","","100","108791.2088","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","7/1/2024 12:00:00 AM","23-24","","100","107826.0870","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","8/1/2024 12:00:00 AM","23-24","","100","107826.0870","1","31","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","9/1/2024 12:00:00 AM","23-24","","100","104347.8261","1","30","114","","48","","","",""
"47","94394","17069961","17083280","-17896363","101","1","10/1/2024 12:00:00 AM","23-24","","92","105393.8186","3","31","114","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","1/1/2022 12:00:00 AM","21-22","","100","73146.0674","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","2/1/2022 12:00:00 AM","21-22","","100","66067.4157","1","28","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","3/1/2022 12:00:00 AM","21-22","","92","2333.0010","3","1","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","3/1/2022 12:00:00 AM","21-22","","100","70786.5169","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","4/1/2022 12:00:00 AM","21-22","","100","72527.4725","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","5/1/2022 12:00:00 AM","21-22","","100","74945.0549","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","6/1/2022 12:00:00 AM","21-22","","100","72527.4725","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","7/1/2022 12:00:00 AM","21-22","","100","77500.0000","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","8/1/2022 12:00:00 AM","21-22","","100","77500.0000","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","9/1/2022 12:00:00 AM","21-22","","100","75000.0000","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","10/1/2022 12:00:00 AM","21-22","","100","80869.5652","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","11/1/2022 12:00:00 AM","21-22","","100","78260.8696","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","12/1/2022 12:00:00 AM","21-22","","100","80869.5652","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","1/1/2023 12:00:00 AM","22-23","","100","65444.4444","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","2/1/2023 12:00:00 AM","22-23","","100","59111.1111","1","28","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","3/1/2023 12:00:00 AM","22-23","","100","65444.4444","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","4/1/2023 12:00:00 AM","22-23","","100","65934.0659","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","5/1/2023 12:00:00 AM","22-23","","100","68131.8681","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","6/1/2023 12:00:00 AM","22-23","","100","65934.0659","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","7/1/2023 12:00:00 AM","22-23","","100","74130.4348","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","8/1/2023 12:00:00 AM","22-23","","100","74130.4348","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","9/1/2023 12:00:00 AM","22-23","","100","71739.1304","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","10/1/2023 12:00:00 AM","22-23","","100","77500.0000","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","11/1/2023 12:00:00 AM","22-23","","100","75000.0000","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","12/1/2023 12:00:00 AM","22-23","","100","77500.0000","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","1/1/2024 12:00:00 AM","23-24","","100","61318.6813","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","2/1/2024 12:00:00 AM","23-24","","100","57362.6374","1","29","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","3/1/2024 12:00:00 AM","23-24","","100","61318.6813","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","4/1/2024 12:00:00 AM","23-24","","100","65934.0659","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","5/1/2024 12:00:00 AM","23-24","","100","68131.8681","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","6/1/2024 12:00:00 AM","23-24","","100","65934.0659","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","7/1/2024 12:00:00 AM","23-24","","100","74130.4348","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","8/1/2024 12:00:00 AM","23-24","","100","74130.4348","1","31","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","9/1/2024 12:00:00 AM","23-24","","100","71739.1304","1","30","51","","48","","","",""
"40","28550","17069960","17083279","-17896362","101","1","10/1/2024 12:00:00 AM","23-24","","92","72323.0310","3","31","51","","48","","","",""
"69","17000001","17069974","17083293","-17896366","5394","1","1/1/2022 12:00:00 AM","21-22","","100","5138.1215","1","31","51","","49","","","",""
